show_id,Genre
s4568,Music & Musicals
s4569,Comedies
s4569,International Movies
s4569,Music & Musicals
s4570,Dramas
s4570,International Movies
s4572,Action & Adventure
s4572,Comedies
s4572,International Movies
s4573,Comedies
s4573,Dramas
s4573,International Movies
s4574,Action & Adventure
s4574,Dramas
s4574,International Movies
s4575,Comedies
s4575,Dramas
s4575,International Movies
s4576,Dramas
s4576,International Movies
s4576,Music & Musicals
s4577,Dramas
s4577,International Movies
s4577,Sports Movies
s4578,Comedies
s4578,International Movies
s4578,Romantic Movies
s4579,Action & Adventure
s4579,Dramas
s4579,International Movies
s4580,Comedies
s4580,Dramas
s4580,International Movies
s4581,International Movies
s4581,Thrillers
s4582,Dramas
s4582,International Movies
s4583,Comedies
s4583,International Movies
s4583,Romantic Movies
s4584,Comedies
s4584,Dramas
s4584,International Movies
s4585,Comedies
s4585,Dramas
s4585,International Movies
s4586,Comedies
s4586,International Movies
s4587,Action & Adventure
s4587,International Movies
s4588,Action & Adventure
s4588,International Movies
s4589,Comedies
s4589,International Movies
s4589,Sci-Fi & Fantasy
s4593,Action & Adventure
s4593,Dramas
s4593,International Movies
s4594,Dramas
s4594,International Movies
s4594,Romantic Movies
s4595,Comedies
s4595,International Movies
s4595,Music & Musicals
s4596,Action & Adventure
s4596,Dramas
s4596,International Movies
s4597,Comedies
s4597,Dramas
s4597,Independent Movies
s4598,Action & Adventure
s4598,International Movies
s4599,Horror Movies
s4599,International Movies
s4599,Thrillers
s4600,Comedies
s4600,International Movies
s4600,Music & Musicals
s4601,Action & Adventure
s4601,International Movies
s4601,Music & Musicals
s4602,Action & Adventure
s4602,International Movies
